map                                     size    squares   kinds  objects   bytes
CandylandHuntingGrounds.hmap        102x197       20094      30     8787    3714
DonorShop.hmap                       62x63         3906     106     1352    1704
GuildHall0.hmap                      32x32         1024      19      106     235
GuildHall1.hmap                      53x47         2491      23      154     353
GuildHall2.hmap                      45x42         1890      29      286     415
GuildHall3.hmap                      57x60         3420      28      392     504
Losthall.hmap                        64x64         4096      13      123     354
Nexus.hmap                           60x32         1920      21      239     269
OryxCastle.hmap                     216x237       51192     100     3389    4443
PetYard0.hmap                        55x53         2915      24      153     333
PetYard1.hmap                        55x53         2915      24      187     371
PetYard2.hmap                        55x53         2915      30      232     419
PetYard3.hmap                        55x53         2915      30      240     432
PetYard4.hmap                        51x46         2346      31      322     460
SP_Avatar.hmap                       31x25          775      11       13     212
SP_GhostShip.hmap                    40x40         1600       9       62     427
SP_Hermit.hmap                       32x29          928      10       18     323
SP_Horde.hmap                        10x10          100       4        1      85
SP_KageKami.hmap                     66x62         4092      22      252    1129
SP_LordOfSky.hmap                    23x16          368       7        7     111
SP_RockDragon.hmap                   52x45         2340      12       17     476
SP_Spooky.hmap                        1x1             1       1        1      33
UDL1.hmap                           134x116       15544      46     1921    2169
UDL10.hmap                          111x139       15429      40     1686    1922
UDL11.hmap                          139x102       14178      44     1763    1959
UDL12.hmap                          135x147       19845      44     2157    2419
UDL13.hmap                          120x148       17760      41     2118    2284
UDL14.hmap                          128x123       15744      45     2074    2286
UDL15.hmap                          119x143       17017      41     1893    2089
UDL16.hmap                           99x152       15048      38     1655    1846
UDL17.hmap                          129x114       14706      38     1640    1786
UDL18.hmap                          125x144       18000      44     2200    2370
UDL19.hmap                          156x145       22620      45     2244    2519
UDL2.hmap                           131x139       18209      39     1856    2088
UDL20.hmap                          102x167       17034      38     1678    1864
UDL21.hmap                          106x58         6148      36      770     956
UDL22.hmap                          129x150       19350      43     1797    2113
UDL23.hmap                          118x142       16756      42     1822    2065
UDL24.hmap                          112x124       13888      44     2032    2172
UDL25.hmap                          145x134       19430      46     1966    2284
UDL26.hmap                          150x135       20250      46     2013    2327
UDL27.hmap                          147x145       21315      42     2135    2381
UDL28.hmap                          118x131       15458      41     1837    2030
UDL29.hmap                          136x135       18360      44     1880    2089
UDL3.hmap                           102x167       17034      44     2028    2249
UDL30.hmap                           95x180       17100      44     1695    1975
UDL4.hmap                           136x142       19312      40     1963    2243
UDL5.hmap                           129x124       15996      39     1762    2018
UDL6.hmap                           129x133       17157      43     2185    2362
UDL7.hmap                           106x142       15052      41     1769    1989
UDL8.hmap                           110x175       19250      45     2007    2280
UDL9.hmap                           136x117       15912      49     2098    2298
Vault.hmap                           67x74         4958      29      156     746
abyss.hmap                          159x89        14151      38     3125    2593
abyss2.hmap                         134x140       18760      31     1931    1773
abysses.hmap                         64x64         4096      13      123     332
bella.hmap                           23x23          529       6      175     103
dailyQuest.hmap                      24x33          792      83      197     712
davy.hmap                            26x47         1222      39      246     502
draconis.hmap                       118x119       14042      47     1521     777
encore.hmap                          30x30          900       6      117     140
entworld.hmap                        55x95         5225      14      738     580
entworld2.hmap                       55x95         5225      14      741     581
forestmaze.hmap                     256x256       65536      72     6904    4323
golemking.hmap                       64x64         4096      11      123     380
jungles.hmap                         28x28          784      22      228     316
madlab.hmap                          64x64         4096      20      155     289
map.hmap                             33x33         1089       2        0      54
marketplace.hmap                    128x114       14592      15        4     655
nexustry.hmap                       256x256       65536      35      198    1093
oceantrench.hmap                    127x107       13589      30     2095    2122
oryxchamber.hmap                    124x127       15748      11      800    2528
oryxmap2.hmap                        33x37         1221       8      193     235
pcave.hmap                           94x98         9212     169     1160    2651
puppet.hmap                          26x34          884      12      145     166
ratmap.hmap                          64x64         4096       7      123     159
sewers1.hmap                        180x76        13680      12      912     618
shittersmep.hmap                    489x281      137409      95     3659    4877
snakepit.hmap                        64x64         4096      10      131     248
snakepit.wmap.hmap                  120x119       14280      43     2684    2965
spiderden.hmap                      128x128       16384      43     1151    1731
spriteworld1.hmap                   128x128       16384      43      247    1882
spriteworld2.hmap                   128x120       15360      35       81    1287
spriteworld3.hmap                   120x127       15240      40      101    1414
spriteworld4.hmap                   115x71         8165      40       85    1044
spriteworld5.hmap                    94x95         8930      49      130    1248
tomb.hmap                            61x60         3660      13      423     199
tomb.wmap.hmap                      185x147       27195      59     2140    2881
tomb2.hmap                           61x60         3660      13      419     206
undeadlair.hmap                     129x114       14706      15      241     472
void.hmap                            52x44         2288       8        1     341
winecellar.hmap                     140x132       18480       7     1621     558
woodlandlabyrinth.hmap              153x228       34884      73     5906    3915
world1.hmap                        2048x2048    4194304    1556   245916  716338
world2.hmap                        2048x2048    4194304    1727   246050  702234
world3.hmap                        2048x2048    4194304    1818   273177  755545

96 maps, 13831237 squares, 2250.0 KB
